college,cases,LAT,LON
Barry University,1,25.878908,-80.198925
Bethune-Cookman University,1,29.207195,-81.032946
Broward College,49,26.119422,-80.14183
Charlotte Technical College,,27.005558,-82.147238
Chipola College,5,30.789228,-85.23139
City College at Gainesville,1,29.654852,-82.417302
College of Central Florida,49,29.166079,-82.175692
Daytona State College,72,29.203275,-81.049685
Eastern Florida State College,12,28.38361,-80.756474
Eckerd College,3,27.715798,-82.687043
Edward Waters College,7,30.34479,-81.684879
Embry-Riddle Aeronautical University at Daytona Beach,83,29.189903,-81.048367
Flagler College,61,29.892733,-81.314887
Florida A&M University,106,30.428504,-84.290226
Florida Atlantic University,252,26.372421,-80.102978
Florida Career College at Tampa,1,27.980705,-82.337004
Florida College,50,28.034936,-82.383289
Florida Gateway College,,30.175298,-82.5679
Florida Gulf Coast University,303,26.463638,-81.7726
Florida Institute of Recording Sound and Technology,1,28.57897,-81.411511
Florida Institute of Technology,53,28.065815,-80.622893
Florida International University,190,25.75732,-80.373928
Florida Memorial University,111,25.918278,-80.270753
Florida National University,,25.86178,-80.321846
Florida Polytechnic University,10,28.150149,-81.845995
Florida SouthWestern State College,18,26.552403,-81.887102
Florida Southern College,49,28.032443,-81.948203
Florida State College at Jacksonville,25,30.334918,-81.659901
Florida State University,1656,30.440756,-84.291921
Fort Myers Technical College,2,26.647517,-81.836596
Fortis Institute at Port Saint Lucie,1,27.3016,-80.303751
George Stone Technical College,1,30.487547,-87.290659
Gulf Coast State College,47,30.185542,-85.727918
Gwinnett Institute,1,28.571233,-81.208356
HCI College,1,26.702663,-80.085147
HCI College at Fort Lauderdale,,26.203916,-80.160343
Hillsborough Community College,29,27.934888,-82.456253
Immokalee Technical College,3,26.426526,-81.425148
Indian River State College,34,27.42416,-80.358682
Jacksonville University,44,30.353227,-81.60458
Johnson & Wales University-North Miami,0,25.894337,-80.164797
Keiser University at Fort Myers,1,26.629125,-81.803666
Keiser University at Jacksonville,1,30.25906,-81.602771
Keiser University at Lakeland,2,28.076491,-81.980557
Keiser University at Melbourne,2,28.094849,-80.622998
Keiser University at Sarasota,1,27.384562,-82.445749
Keiser University at Tallahassee,,30.504039,-84.24769
Keiser University at West Palm Beach,1,26.713572,-80.151201
Lake-Sumter State College,0,28.828649,-81.797193
Lively Technical College,1,30.448534,-84.339057
Lorenzo Walker Technical College,0,26.141141,-81.763568
Lynn University,41,26.385985,-80.122806
Meridian College,1,27.380724,-82.425309
Miami Dade College,9,25.777717,-80.190856
New College of Florida,2,27.384925,-82.55858
North Florida College,14,30.473841,-83.420732
Northwest Florida State College,25,30.540017,-86.47456
Nova Southeastern University,1,26.079337,-80.24248
Palm Beach Atlantic University,35,26.7044,-80.05247
Palm Beach State College,41,26.61256,-80.08653
Pasco-Hernando State College,8,28.2751,-82.646727
Paul Mitchell the School-Jacksonville,,30.259433,-81.527515
Pensacola State College,36,30.479267,-87.200265
Polk State College,34,28.032411,-81.711873
Rasmussen College at Fort Myers,1,26.62684,-81.80407
Rollins College,27,28.592787,-81.349239
Saint Leo University,34,28.336776,-82.257801
Santa Fe College,25,29.681037,-82.433143
Seminole State College of Florida,12,28.745482,-81.308003
South Florida State College,32,27.56974,-81.508667
Southeastern College at West Palm Beach,1,26.702216,-80.085966
Southeastern University,12,28.029733,-81.918382
St. Johns River State College,15,29.647516,-81.681387
St. Petersburg College,40,27.90242,-82.717331
St. Thomas University,4,25.922071,-80.253273
"State College of Florida, Manatee-Sarasota",47,27.43804,-82.590887
Stetson University,114,29.035475,-81.300746
Strayer University at Fort Lauderdale,,26.12229,-80.173641
Tallahassee Community College,102,30.443866,-84.339
The College of the Florida Keys,6,24.582748,-81.74446
University of Central Florida,1544,28.602159,-81.200889
University of Florida,3634,29.64629,-82.347911
University of Fort Lauderdale,1,26.147098,-80.204938
University of Miami,596,25.72126,-80.278662
University of North Florida,172,30.27194,-81.509144
University of South Florida,642,28.061458,-82.413232
University of South Florida Sarasota-Manatee,8,27.39158,-82.562725
"University of South Florida, St. Petersburg",17,27.763872,-82.636136
University of Tampa,559,27.948455,-82.46483
University of West Florida,145,30.549076,-87.218511
Valencia College,35,28.520898,-81.471466
Webber International University,3,27.838778,-81.532315
Abraham Baldwin Agricultural College,35,31.481889,-83.528281
Agnes Scott College,1,33.769268,-84.295459
Albany State University,110,31.56928,-84.141825
Atlanta Metropolitan State College,0,33.70893,-84.404659
Augusta University,234,33.47037,-81.989071
Berry College,210,34.290414,-85.189202
Brenau University,48,34.303117,-83.821513
Clark Atlanta University,0,33.747628,-84.412584
Clayton State University,77,33.594079,-84.328174
College of Coastal Georgia,62,31.182745,-81.485973
Columbus State University,72,32.50096,-84.94106
Covenant College,15,34.965161,-85.375066
Dalton State College,38,34.774221,-85.002775
East Georgia State College,52,32.594944,-82.309021
Emmanuel College,11,34.283641,-83.14822
Emory University,206,33.790183,-84.325512
